1001101	1.0	238.8	0.00	620.0
	238.8	1305.6	255.00	1835.1
	1305.6	10000000.0	575.67	3341.0
1001102	1.0	241.7	0.00	626.1
	241.7	1297.0	254.70	1840.3
	1297.0	10000000.0	570.50	3334.7
1001103	1.0	244.6	0.00	632.2
	244.6	1288.1	254.27	1845.2
	1288.1	10000000.0	565.30	3327.9
1001104	1.0	247.3	0.00	638.3
	247.3	1278.9	253.72	1849.6
	1278.9	10000000.0	560.06	3320.7
1001105	1.0	249.9	0.00	644.2
	249.9	1269.6	253.07	1853.6
	1269.6	10000000.0	554.80	3313.0
1001106	1.0	252.4	0.00	650.1
	252.4	1260.0	252.32	1857.1
	1260.0	10000000.0	549.55	3305.0
1001107	1.0	254.7	0.00	655.8
	254.7	1250.3	251.48	1860.3
	1250.3	10000000.0	544.30	3296.5
1001108	1.0	256.9	0.00	661.3
	256.9	1240.4	250.57	1863.0
	1240.4	10000000.0	539.09	3287.6
1001109	1.0	259.0	0.00	666.7
	259.0	1230.4	249.60	1865.3
	1230.4	10000000.0	533.91	3278.3
1001110	1.0	260.9	0.00	671.8
	260.9	1220.2	248.57	1867.1
	1220.2	10000000.0	528.79	3268.7
1001111	1.0	262.6	0.00	676.7
	262.6	1209.9	247.49	1868.5
	1209.9	10000000.0	523.72	3258.7
1001112	1.0	264.1	0.00	681.3
	264.1	1199.5	246.38	1869.4
	1199.5	10000000.0	518.74	3248.3
1001113	1.0	265.5	0.00	685.7
	265.5	1189.0	245.23	1869.9
	1189.0	10000000.0	513.84	3237.6
1001114	1.0	266.7	0.00	689.7
	266.7	1178.5	244.07	1870.0
	1178.5	10000000.0	509.04	3226.5
1001115	1.0	267.7	0.00	693.4
	267.7	1167.9	242.89	1869.5
	1167.9	10000000.0	504.34	3215.1
1001116	1.0	268.6	0.00	696.8
	268.6	1157.3	241.70	1868.6
	1157.3	10000000.0	499.75	3203.4
1001117	1.0	269.2	0.00	699.8
	269.2	1146.6	240.51	1867.3
	1146.6	10000000.0	495.28	3191.4
1001118	1.0	269.7	0.00	702.5
	269.7	1136.0	239.33	1865.5
	1136.0	10000000.0	490.94	3179.2
1001119	1.0	269.9	0.00	704.7
	269.9	1125.4	238.15	1863.3
	1125.4	10000000.0	486.74	3166.6
1001120	1.0	270.0	0.00	706.6
	270.0	1114.8	236.99	1860.6
	1114.8	10000000.0	482.68	3153.8
1001121	1.0	269.9	0.00	708.1
	269.9	1104.3	235.85	1857.5
	1104.3	10000000.0	478.76	3140.8
1001122	1.0	269.6	0.00	709.1
	269.6	1093.9	234.73	1854.0
	1093.9	10000000.0	474.99	3127.6
1001123	1.0	269.0	0.00	709.8
	269.0	1083.6	233.63	1850.0
	1083.6	10000000.0	471.37	3114.1
1001124	1.0	268.3	0.00	710.0
	268.3	1073.3	232.55	1845.7
	1073.3	10000000.0	467.91	3100.5
1001125	1.0	267.4	0.00	709.8
	267.4	1063.2	231.51	1840.9
	1063.2	10000000.0	464.61	3086.7
1001126	1.0	266.4	0.00	709.2
	266.4	1053.3	230.49	1835.7
	1053.3	10000000.0	461.47	3072.7
1001127	1.0	265.1	0.00	708.2
	265.1	1043.5	229.51	1830.2
	1043.5	10000000.0	458.49	3058.6
1001128	1.0	263.7	0.00	706.7
	263.7	1033.9	228.55	1824.3
	1033.9	10000000.0	455.68	3044.3
1001129	1.0	262.1	0.00	704.9
	262.1	1024.5	227.63	1818.0
	1024.5	10000000.0	453.03	3030.0
1001130	1.0	260.3	0.00	702.7
	260.3	1015.3	226.73	1811.4
	1015.3	10000000.0	450.55	3015.5
1001131	1.0	258.3	0.00	700.1
	258.3	1006.3	225.87	1804.4
	1006.3	10000000.0	448.23	3001.0
1001132	1.0	256.3	0.00	697.1
	256.3	997.5	225.03	1797.1
	997.5	10000000.0	446.08	2986.4
1001133	1.0	254.0	0.00	693.7
	254.0	989.1	224.22	1789.5
	989.1	10000000.0	444.09	2971.8
1001134	1.0	251.6	0.00	690.0
	251.6	980.8	223.43	1781.7
	980.8	10000000.0	442.26	2957.1
1001135	1.0	249.1	0.00	686.0
